ID,sfreq,length
A03972,300,9000
A01565,300,9000
A03853,300,9000
A00478,300,9000
A01109,300,9000
A05024,300,9000
A00651,300,9000
A03926,300,9000
A05535,300,9000
A00733,300,9000
A03755,300,9000
A05549,300,9000
A06778,300,9000
A05620,300,9300
A01067,300,9000
A01045,300,9000
A03994,300,7076
A04502,300,9000
A04223,300,9000
A06213,300,11564
A08163,300,3812
A03958,300,9000
A05111,300,18000
A01363,300,9000
A07537,300,9000
A07302,300,18000
A06194,300,9000
A05691,300,9382
A01068,300,18000
A02229,300,9000
A03676,300,9000
A06972,300,9000
A06605,300,8836
A07727,300,9000
A08512,300,9000
A05807,300,10028
A01775,300,9000
A00588,300,18000
A05068,300,9000
A06658,300,9000
A07871,300,6126
A01259,300,9000
A01385,300,9000
A07689,300,9000
A08422,300,3252
A01453,300,6170
A04915,300,18000
A02030,300,9000
A00445,300,3264
A01522,300,18000
A06841,300,3154
A03017,300,3186
A02208,300,9000
A04570,300,9000
A06143,300,9664
A01170,300,7284
A00724,300,18000
A07656,300,9000
A06954,300,9000
A03460,300,3300
A00526,300,7256
A00756,300,18000
A03005,300,9000
A04274,300,3806
A07453,300,9000
A08133,300,3408
A01795,300,9000
A02782,300,9000
A04643,300,5300
A01353,300,9000
A08152,300,9000
A07274,300,9000
A08262,300,9000
A06137,300,12570
A05607,300,11062
A00887,300,18000
A02717,300,4860
A03037,300,9000
A03894,300,9000
A03239,300,4596
A08406,300,9000
A01694,300,9000
A00302,300,9000
A06444,300,9000
A06638,300,9000
A05383,300,9000
A06854,300,3194
A07130,300,9000
A06469,300,9000
A03340,300,9000
A04135,300,7662
A02436,300,9000
A01888,300,9000
A07090,300,9000
A01133,300,9000
A07917,300,9000
A01488,300,9000
A08054,300,9000
A07167,300,9000
A01106,300,9000
A07924,300,3874
A03667,300,9000
A04542,300,18000
A02280,300,9000
A03028,300,17908
A07253,300,9000
A01977,300,9000
A07543,300,9164
A04317,300,9000
A08126,300,9000
A00758,300,9000
A01903,300,8018
A07360,300,5870
A02669,300,9000
A06040,300,5364
A02568,300,9000
A02951,300,9000
A02105,300,9000
A06463,300,9000
A04910,300,6946
A01583,300,9000
A07668,300,9000
A02551,300,18000
A05899,300,9980
A02314,300,9000
A03228,300,18000
A01280,300,9000
A02808,300,9000
A08038,300,9000
A00332,300,9000
A03756,300,17984
A05497,300,18000
A07091,300,9000
A01681,300,9000
A03463,300,9000
A07799,300,18000
A08454,300,9000
A00378,300,9000
A08390,300,9000
A06754,300,9000
A05809,300,9000
A03201,300,9000
A03250,300,9000
A07410,300,9000
A01990,300,8670
A06126,300,10156
A04487,300,9000
A07605,300,18000
A04603,300,9000
A03324,300,9000
A02585,300,9000
A04315,300,9000
A05065,300,9000
A04328,300,9000
A03553,300,9000
A05180,300,9000
A04911,300,9000
A04392,300,9000
A07526,300,9000
A05158,300,9000
A00276,300,9000
A04898,300,5898
A01393,300,9000
A03079,300,18000
A05969,300,9000
A05198,300,9000
A06300,300,9742
A02401,300,9000
A05102,300,9000
A07249,300,9000
A03134,300,9000
A04059,300,9000
A00952,300,9000
A05914,300,9000
A05589,300,8226
A04523,300,9000
A01223,300,9000
A06803,300,9000
A00740,300,9000
A01292,300,9000
A07573,300,9000
A07114,300,9000
A02381,300,9000
A07809,300,9000
A05826,300,9944
A04036,300,9000
A01548,300,9000
A01138,300,9000
A05146,300,9000
A04100,300,9000
A06108,300,9000
A02820,300,18000
A04474,300,9000
A07308,300,18000
A02446,300,9000
A01822,300,9000
A02923,300,9000
A04284,300,11278
A00972,300,18000
A03580,300,7472
A04657,300,9000
A00604,300,8172
A06876,300,9000
A06958,300,9000
A06973,300,9000
A07471,300,9000
A07277,300,9000
A02928,300,9000
A05812,300,13206
A07342,300,9000
A06129,300,12868
A06404,300,10896
A08124,300,9000
A06481,300,4256
A05488,300,9000
A07798,300,9000
A01039,300,9000
A03408,300,4226
A04427,300,9000
A01809,300,18000
A05039,300,9000
A00662,300,9000
A00621,300,9000
A01034,300,9000
A03593,300,9000
A04420,300,9000
A06870,300,18000
A01186,300,9000
A07362,300,9000
A02051,300,9000
A08408,300,9000
A05641,300,9898
A08264,300,9000
A03626,300,9000
A07434,300,9000
A06912,300,9000
A05882,300,9000
A07477,300,9000
A02934,300,18000
A05316,300,9000
A03369,300,9000
A06706,300,9000
A00693,300,9000
A03637,300,9000
A05514,300,9000
A04689,300,9000
A06387,300,5834
A00940,300,18000
A01361,300,9000
A06304,300,9000
A01996,300,9000
A05341,300,5474
A04389,300,18000
A05777,300,10256
A00264,300,12696
A04826,300,9000
A03828,300,3272
A08034,300,4544
A07548,300,3982
A04094,300,9000
A06034,300,9000
A02619,300,9000
A06052,300,10268
A00529,300,9000
A03770,300,9000
A05431,300,9000
A05173,300,9000
A04894,300,9000
A04069,300,9000
A01446,300,12610
A01354,300,9000
A07216,300,9000
A01765,300,9000
A01537,300,9000
A07535,300,8506
A05470,300,9000
A08245,300,9000
A05485,300,9000
A03101,300,18000
A07753,300,9000
A08271,300,9000
A06065,300,10504
A07237,300,9000
A00339,300,9000
A03711,300,9000
A08231,300,9000
A02787,300,18000
A00862,300,18000
A08397,300,9000
A02647,300,9000
A03248,300,9000
A04481,300,9000
A05104,300,9000
A03040,300,9000
A04149,300,18000
A03343,300,5022
A03614,300,9000
A02963,300,18000
A04330,300,9000
A07311,300,9000
A03299,300,9000
A03934,300,3310
A06865,300,9000
A00335,300,9000
A01581,300,9000
A05120,300,9000
A03462,300,9000
A06960,300,9000
A06331,300,13084
A08076,300,18000
A06767,300,9000
A01610,300,9000
A03559,300,9000
A07424,300,9000
A04760,300,9000
A00251,300,18000
A01260,300,9000
A04638,300,9000
A00363,300,9000
A07051,300,9000
A00261,300,17990
A00794,300,9000
A05557,300,18000
A02377,300,9000
A05862,300,13186
A00935,300,9000
A06821,300,9000
A07309,300,9000
A03234,300,9000
A00650,300,9000
A01021,300,9000
A07047,300,9000
A00673,300,6716
A04533,300,9000
A04676,300,4122
A08006,300,18000
A04649,300,18000
A00851,300,18000
A06771,300,9000
A06376,300,9000
A06848,300,9000
A01029,300,18000
A07013,300,9000
A02378,300,7306
A05522,300,9000
A01622,300,9000
A01093,300,9000
A07546,300,9000
A08107,300,18000
A01705,300,9000
A05018,300,4008
A04327,300,9000
A00627,300,17992
A04757,300,9000
A08432,300,9000
A00471,300,4622
A03018,300,9424
A02161,300,9000
A03113,300,3860
A05556,300,9000
A07077,300,9000
A03097,300,4038
A01207,300,9000
A04727,300,4926
A06892,300,9000
A04809,300,9000
A01698,300,9000
A02961,300,3130
A06810,300,9000
A01148,300,4334
A00922,300,18000
A03289,300,9000
A03066,300,9000
A03358,300,9000
A01337,300,9000
A00785,300,9000
A03724,300,9000
A03229,300,9000
A04736,300,9000
A05693,300,9814
A07355,300,9000
A03712,300,9000
A00531,300,9000
A07748,300,9000
A08177,300,9000
A04985,300,9000
A02478,300,6982
A02075,300,9000
A04312,300,9000
A01751,300,4174
A00737,300,9000
A06156,300,9000
A05150,300,18000
A02890,300,9000
A01887,300,9000
A02775,300,9000
A06676,300,18000
A05958,300,9000
A06035,300,9818
A05527,300,18000
A04967,300,18000
A00897,300,9000
A05279,300,9000
A07468,300,9000
A07609,300,9000
A07720,300,9000
A05663,300,10636
A07963,300,9000
A03422,300,9000
A05269,300,9000
A02187,300,18000
A07740,300,9000
A05565,300,9000
A06396,300,9000
A04680,300,9000
A05112,300,18000
A06391,300,14568
A01338,300,9000
A03312,300,5760
A07884,300,3296
A07398,300,9000
A00408,300,9000
A03980,300,9000
A07592,300,4080
A03117,300,4496
A07704,300,9000
A04204,300,3600
A04172,300,9000
A02044,300,9000
A00576,300,9000
A01932,300,3264
A04198,300,9000
A01180,300,9000
A02474,300,9000
A08456,300,7546
A03096,300,9000
A02935,300,9000
A05551,300,18000
A05582,300,9000
A01788,300,9000
A02581,300,9000
A04761,300,9000
A00399,300,9000
A06665,300,9000
A08266,300,9000
A05817,300,9000
A06010,300,9914
A04597,300,9000
A02977,300,9000
A06975,300,7150
A05213,300,9000
A05889,300,12970
A00779,300,9000
A01654,300,9000
A06684,300,9000
A07152,300,3868
A06540,300,9000
A04642,300,9000
A02686,300,9000
A06836,300,9000
A08097,300,9000
A01077,300,9000
A03161,300,9000
A04323,300,9000
A04318,300,9000
A01484,300,4646
A03769,300,9000
A03310,300,9000
A03021,300,18000
A06974,300,9000
A02939,300,9000
A03107,300,9000
A08424,300,9000
A02013,300,9000
A06731,300,9000
A07673,300,18000
A01132,300,18000
A02920,300,9000
A03862,300,9000
A01746,300,9000
A05938,300,13740
A03884,300,9000
A00430,300,9000
A02776,300,18000
A04387,300,9000
A07008,300,9000
A04238,300,9000
A02704,300,9000
A05391,300,8114
A00535,300,6230
A07148,300,9000
A01072,300,11398
A07897,300,9000
A02310,300,9000
A01252,300,9000
A06486,300,9000
A03064,300,9000
A06768,300,4400
A05368,300,9000
A07379,300,9000
A02019,300,9000
A02617,300,9000
A01197,300,9000
A02802,300,9000
A03071,300,9000
A05911,300,8328
A06988,300,9000
A00323,300,5478
A04350,300,9000
A01127,300,9000
A03849,300,9000
A02566,300,9000
A02944,300,9000
A06446,300,9000
A07528,300,9000
A05493,300,2714
A06914,300,9000
A04579,300,9000
A04713,300,9000
A02734,300,9000
A01350,300,18000
A00760,300,9000
A05709,300,9000
A06323,300,9446
A06473,300,9000
A05285,300,9000
A05919,300,9000
A06926,300,9000
A06102,300,10260
A02462,300,18000
A02490,300,18000
A07639,300,9000
A05830,300,10106
A06915,300,9000
A01976,300,9000
A02433,300,9000
A02521,300,7106
A03665,300,9000
A02390,300,9000
A04395,300,7302
A05579,300,9000
A01295,300,9000
A04461,300,18000
A01044,300,9000
A02626,300,3260
A02093,300,9000
A02603,300,9000
A05162,300,7328
A05508,300,9000
A08141,300,9000
A07964,300,6286
A08438,300,9000
A06182,300,10584
A07791,300,9000
A07885,300,9000
A07771,300,9000
A04808,300,15268
A06232,300,9000
A04215,300,9000
A00683,300,9000
A02104,300,9000
A03749,300,9000
A03227,300,9000
A06900,300,9000
A04422,300,18000
A07023,300,18000
A07619,300,9000
A00449,300,8326
A06828,300,9000
A05805,300,9000
A06363,300,9000
A02950,300,9000
A00415,300,9000
A05946,300,10084
A07505,300,9000
A06629,300,9000
A06852,300,9000
A01003,300,9000
A08112,300,9000
A01724,300,9000
A04577,300,9000
A01048,300,3346
A08435,300,9000
A02533,300,6480
A06407,300,9000
A01739,300,9000
A05861,300,9000
A06394,300,9000
A08120,300,18000
A08396,300,9000
A07116,300,9000
A08061,300,9000
A02949,300,18000
A04787,300,17756
A00414,300,8162
A00446,300,9000
A02501,300,17366
A07705,300,9000
A03468,300,18000
A07862,300,9000
A02523,300,9000
A02022,300,9000
A03043,300,9000
A07291,300,9000
A03696,300,18000
A08101,300,9000
A00807,300,9000
A02724,300,18000
A02887,300,3830
A06543,300,9000
A03562,300,9000
A04756,300,9000
A00823,300,9000
A01784,300,9000
A01686,300,18000
A03806,300,9000
A04308,300,7678
A01554,300,9000
A04299,300,9000
A05988,300,9000
A02158,300,18000
A05653,300,9678
A04471,300,9000
A05533,300,4898
A01117,300,9000
A01143,300,9000
A05729,300,11006
A08025,300,9000
A05955,300,10498
A05851,300,18264
A05915,300,9590
A07522,300,18000
A01940,300,9000
A04255,300,5818
A02624,300,9000
A07243,300,17890
A02046,300,9000
A02207,300,9000
A01053,300,9000
A05814,300,9506
A03998,300,9000
A04824,300,9000
A05252,300,9000
A07579,300,9000
A03118,300,9000
A04087,300,9000
A06098,300,9996
A02031,300,9000
A04490,300,18000
A07109,300,9000
A02200,300,9000
A03036,300,9000
A07581,300,9000
A03382,300,18000
A04263,300,9000
A08051,300,9000
A07615,300,2766
A02056,300,9000
A05476,300,9000
A07448,300,18000
A07901,300,9000
A02015,300,9000
A04712,300,9000
A05386,300,9000
A00514,300,7586
A03521,300,9000
A00872,300,9000
A07796,300,9000
A04412,300,9000
A04442,300,6038
A06019,300,9644
A03425,300,9000
A00316,300,6206
A01179,300,9000
A05613,300,14104
A04041,300,9000
A07082,300,9000
A02659,300,4386
A02840,300,9000
A01782,300,9000
A07170,300,9000
A08173,300,9000
A08315,300,9000
A03219,300,9000
A01505,300,9000
A00732,300,9000
A00477,300,18000
A07110,300,9000
A08252,300,9000
A05246,300,9000
A06237,300,10280
A07032,300,9000
A00870,300,9000
A04165,300,9000
A04143,300,9000
A04651,300,9000
A02477,300,9000
A07359,300,9000
A07499,300,2928
A03399,300,9000
A08511,300,9000
A05902,300,9000
A02966,300,9000
A01556,300,9000
A01843,300,9000
A06968,300,9000
A00689,300,9000
A00262,300,9000
A02445,300,9000
A02904,300,9000
A01589,300,18000
A04966,300,9000
A02373,300,9000
A05621,300,14210
A04907,300,9000
A06992,300,8580
A05306,300,4044
A04604,300,9000
A02559,300,9000
A04873,300,4468
A06061,300,9916
A06278,300,17098
A06721,300,9000
A06871,300,9000
A04514,300,9000
A07766,300,9000
A01121,300,7354
A08113,300,9000
A01330,300,9000
A00770,300,9000
A05884,300,9000
A08521,300,9000
A05409,300,9000
A05849,300,9470
A01390,300,9000
A04161,300,9000
A05796,300,15168
A08463,300,16348
A01175,300,9000
A08186,300,9000
A03589,300,9000
A05060,300,9000
A00484,300,18000
A00803,300,9000
A01050,300,9000
A03850,300,9000
A01347,300,9000
A04560,300,8828
A07146,300,14246
A04571,300,18000
A02932,300,9000
A05058,300,9000
A00655,300,7934
A03261,300,9000
A03321,300,9000
A08388,300,9000
A01403,300,9000
A03356,300,9000
A07154,300,3658
A04352,300,11178
A05669,300,9492
A07650,300,9000
A08037,300,9000
A04147,300,9000
A02622,300,9000
A05163,300,9000
A06176,300,10484
A05903,300,9984
A08235,300,9814
A04822,300,9000
A03197,300,9000
A05867,300,17728
A05920,300,17186
A05051,300,9000
A06169,300,10906
A00573,300,17390
A08110,300,18000
A08377,300,9000
A03684,300,9000
A06689,300,9000
A05704,300,11888
A07429,300,9000
A00368,300,3106
A07534,300,9000
A03048,300,9000
A02695,300,9000
A04526,300,9000
A03781,300,4472
A05032,300,9000
A04535,300,9000
A03768,300,18008
A01386,300,9000
A01187,300,9000
A05649,300,9000
A07920,300,8700
A02665,300,5580
A05766,300,3794
A07050,300,9000
A03488,300,9000
A06781,300,5730
A04339,300,9000
A03076,300,9000
A01745,300,9000
A06416,300,18000
A02009,300,9000
A02783,300,18000
A07348,300,9000
A02509,300,9000
A02394,300,3166
A04541,300,9000
A04696,300,18000
A02123,300,9000
A02241,300,9000
A05937,300,17952
A04411,300,9000
A01504,300,9000
A06838,300,9000
A05308,300,9000
A02058,300,9000
A04612,300,8618
A08039,300,9000
A07648,300,3914
A07715,300,9000
A05177,300,3584
A02553,300,9000
A01174,300,9000
A01254,300,18000
A05687,300,9000
A04940,300,9000
A05925,300,13694
A02555,300,9000
A03223,300,9000
A06606,300,9000
A04997,300,9000
A02356,300,18000
A03682,300,9000
A02442,300,9000
A02587,300,9000
A01528,300,18000
A05227,300,4200
A06818,300,3590
A05515,300,9000
A07394,300,9000
A05769,300,9946
A07252,300,9000
A04176,300,9000
A00980,300,3464
A05909,300,14052
A03652,300,4994
A06263,300,18140
A03974,300,17278
A04307,300,9000
A05373,300,18000
A08426,300,9000
A07856,300,9000
A04606,300,18000
A04262,300,9000
A00656,300,9000
A05963,300,9214
A01271,300,9000
A06014,300,12802
A04014,300,8518
A05670,300,9000
A01211,300,9000
A08328,300,9552
A07173,300,9000
A01445,300,9000
A00827,300,9000
A03004,300,18000
A03757,300,18000
A06009,300,11486
A07684,300,9000
A05815,300,18066
A06620,300,9000
A04650,300,9000
A08348,300,9000
A02045,300,9000
A04537,300,9000
A01172,300,6900
A05053,300,3294
A00657,300,9000
A07270,300,9000
A05865,300,10256
A06545,300,4904
A01838,300,9000
A01878,300,11660
A06127,300,9000
A00457,300,9000
A02120,300,5700
A01828,300,9000
A04180,300,9000
A03829,300,9000
A06550,300,9000
A04602,300,9000
A08395,300,9000
A02770,300,9000
A05753,300,12904
A06089,300,9000
A05016,300,9000
A00563,300,18000
A01908,300,9000
A07688,300,9000
A02247,300,6078
A08499,300,9000
A02470,300,9000
A07275,300,9000
A03244,300,9000
A06888,300,9000
A07722,300,9000
A04790,300,9000
A01321,300,9000
A03985,300,7808
A05934,300,9000
A01431,300,9000
A04065,300,9000
A03302,300,9000
A01196,300,9000
A02355,300,18000
A00491,300,9000
A04728,300,9000
A00300,300,18000
A00305,300,9000
A08312,300,9000
A05328,300,9000
A03827,300,9000
A01249,300,9000
A04884,300,6984
A06388,300,18000
A06907,300,18000
A02250,300,9000
A01307,300,18000
A05846,300,5038
A07180,300,3076
A03100,300,17854
A07823,300,9000
A07159,300,9000
A01103,300,9000
A00265,300,9000
A03680,300,9000
A04007,300,18000
A02428,300,9000
A03410,300,9000
A02872,300,9000
A07219,300,9000
A05855,300,11902
A01123,300,9000
A05187,300,4882
A06079,300,9000
A04662,300,9000
A00833,300,9000
A05359,300,3300
A02190,300,18000
A04975,300,9000
A01157,300,9000
A02226,300,9000
A05056,300,3008
A02167,300,4522
A05900,300,9000
A01033,300,9000
A08258,300,7342
A03797,300,9000
A00783,300,9000
A07177,300,9000
A06571,300,9000
A00499,300,9000
A02316,300,9000
A07913,300,9000
A01410,300,9000
A00863,300,9000
A08450,300,9000
A03607,300,9000
A03305,300,9000
A06426,300,9000
A03576,300,9000
A05678,300,11270
A00780,300,9000
A07838,300,9000
A05277,300,7222
A01423,300,9000
A06525,300,9000
A06028,300,12618
A07442,300,9000
A07258,300,9000
A04169,300,9000
A00605,300,9000
A05791,300,18076
A03349,300,9000
A07472,300,18000
A03851,300,9000
A06855,300,18000
A07691,300,9000
A05036,300,18000
A08045,300,9000
A00312,300,9000
A07122,300,9000
A08106,300,9000
A06569,300,9000
A01161,300,9000
A03442,300,9000
A06681,300,9000
A07094,300,5572
A05127,300,9000
A05733,300,9746
A06330,300,10618
A07217,300,9000
A06324,300,10434
A01341,300,18034
A00349,300,9000
A01965,300,9000
A01599,300,9000
A04310,300,9000
A01850,300,9000
A05209,300,9000
A03313,300,9000
A02302,300,9000
A07959,300,9000
A04540,300,9000
A07119,300,8756
A01700,300,9000
A02017,300,9000
A05042,300,5132
A00817,300,18000
A07230,300,9000
A08362,300,9000
A02067,300,9000
A00464,300,3972
A05222,300,9000
A03606,300,9000
A05726,300,10316
A03739,300,10956
A04742,300,9000
A05611,300,10962
A08351,300,9000
A00729,300,9000
A07982,300,9000
A02480,300,9000
A00618,300,7682
A08147,300,9000
A07542,300,7012
A03222,300,9000
A01065,300,9000
A07235,300,9000
A01289,300,9000
A08021,300,9000
A01113,300,9000
A06805,300,7988
A01492,300,8902
A05069,300,9000
A08052,300,10336
A00394,300,3898
A04030,300,9000
A06415,300,3686
A04803,300,9000
A05022,300,9000
A07794,300,9000
A04309,300,9000
A08131,300,9000
A00993,300,9000
A02851,300,7978
A04575,300,9000
A01609,300,9000
A03956,300,9000
A05459,300,4386
A00263,300,9000
A03572,300,9000
A06271,300,9000
A07189,300,9000
A06572,300,9000
A03617,300,9000
A03337,300,9580
A07218,300,18000
A04283,300,9000
A08291,300,9000
A01139,300,9000
A00557,300,7800
A03063,300,9000
A06152,300,11334
A05440,300,9000
A03842,300,9000
A03091,300,9000
A07463,300,9000
A07562,300,9000
A01812,300,7044
A04881,300,9000
A05800,300,10380
A02911,300,9000
A04242,300,9000
A07431,300,9000
A02264,300,9000
A04428,300,9000
A00771,300,9000
A03982,300,15626
A00297,300,9000
A02008,300,9000
A01662,300,9000
A00682,300,9000
A07701,300,7748
A04937,300,5076
A01181,300,9000
A02824,300,9000
A02416,300,18000
A01625,300,9000
A04388,300,9000
A07772,300,18000
A00730,300,9000
A07570,300,9000
A02368,300,9000
A06919,300,9000
A02863,300,9000
A04213,300,9000
A04108,300,9000
A02995,300,9000
A01527,300,9000
A03157,300,9000
A01763,300,14768
A04488,300,9000
A01189,300,9000
A02984,300,9000
A03471,300,9000
A01770,300,4004
A06450,300,9000
A04554,300,5448
A02834,300,9000
A06383,300,18000
A05985,300,13338
A07267,300,9000
A03782,300,9000
A06561,300,9000
A06484,300,9000
A02812,300,9000
A06772,300,9000
A05468,300,9000
A00705,300,9000
A01141,300,9000
A02149,300,9000
A03029,300,17978
A03975,300,9000
A05739,300,9614
A00440,300,9000
A03391,300,18000
A02248,300,9000
A01810,300,9000
A05103,300,9000
A03167,300,18000
A05147,300,9000
A03634,300,9000
A05432,300,5012
A03449,300,18000
A02848,300,18000
A00402,300,18000
A05873,300,10876
A01676,300,9000
A04831,300,8222
A06886,300,9000
A01092,300,18000
A04896,300,3332
A00246,300,9000
A05094,300,9000
A00574,300,9000
A03563,300,9000
A07254,300,5636
A07439,300,9000
A07484,300,9000
A08486,300,5522
A05708,300,8372
A06211,300,9000
A07006,300,9000
A07607,300,7247
A07037,300,9000
A03427,300,18000
A02885,300,9000
A02691,300,9000
A00366,300,9000
A02284,300,18000
A05061,300,9000
A03031,300,9000
A04435,300,9000
A01267,300,9000
A02804,300,9000
A06619,300,9000
A02476,300,9000
A02402,300,9000
A06088,300,11928
A07049,300,9000
A06070,300,9000
A08425,300,9000
A04846,300,9000
A06839,300,9000
A02718,300,9000
A00489,300,18000
A06288,300,9000
A06368,300,8184
A01375,300,18000
A00750,300,9000
A04590,300,18000
A01526,300,9000
A01261,300,18260
A02463,300,9000
A07492,300,18000
A01086,300,9000
A03575,300,9000
A02125,300,9000
A02272,300,4488
A04206,300,9000
A01936,300,9000
A06989,300,9000
